day,room,column,row,entry,exits,image1,image2,letter,chess_colour,chess_piece
22,observatory,B,6,,ES,cost,coast,a,white,knight
23,entrance-hall,C,1,S,NESW,face,ace,f,,
23,shelter,O,1,,,,,?,,
23,pantry,D,1,W,NW,pine,pin,e,,
23,chapel,D,2,S,ESW,bath,bat,h,white,bishop
23,laboratory,E,2,W,SW,car,cart,t,,
23,closet,E,1,N,N,stag,tag,s,,
23,den,C,2,E,NEW,bridge,bride,g,white,pawn
23,corridor,B,2,E,EW,stair,star,i,,
23,parlour,A,2,E,NE,plane,plan,e,black,pawn
23,bedroom,A,3,S,ES,crow,row,c,white,pawn
23,hallway,B,3,W,NEW,tier,tie,r,,
23,boudoir,C,3,W,NW,rod,road,a,,
23,chamber-of-mirrors,C,4,S,S,stage,sage,t,,
23,spare-room,B,4,S,NS,cot,coat,a,,
23,secret-passage,B,5,S,NS,pilot,plot,i,,
23,passageway,B,6,S,NESW,cost,coast,a,,
23,dining-room,B,7,S,NSW,tie,time,m,,
23,garage,A,7,E,E,spine,pine,s,,
23,west-wing-hall,A,6,E,NES,grain,rain,g,,
23,corridor,A,5,N,NS,tube,tub,e,,
23,parlour,A,4,N,NE,car,card,d,,
23,passageway,B,8,S,NESW,boat,bat,o,,
23,laundry-room,A,8,E,E,crate,rate,c,,
23,laboratory,B,9,S,ES,flight,light,f,,
23,archives,C,6,W,NESW,planet,plane,t,,
23,archives,D,6,W,NESW,stage,stag,e,,
23,pool,E,6,W,NSW,coat,coast,s,,
23,pantry,E,5,N,NW,tent,ten,t,,
23,storeroom,B,1,E,E,prayer,pryer,a,white,pawn
24,tool-shed,O,1,,,,,?,,
24,entrance-hall,C,1,S,NESW,face,ace,f,,
24,den,D,1,W,NEW,pine,pin,e,white,pawn
24,commissary,E,1,W,NW,stag,tag,s,,
24,drawing-room,E,2,S,NSW,car,cart,t,,
24,bedroom,E,3,S,SW,peak,pea,k,white,pawn
24,security,D,2,E,NES,bath,bat,h,,
24,darkroom,D,3,S,ESW,clock,lock,c,,
24,hallway,B,1,E,NEW,prayer,pryer,a,,
24,storeroom,A,1,E,E,dessert,desert,s,white,pawn
24,parlour,B,2,S,ES,stair,star,i,black,pawn
24,nook,C,2,W,NW,bridge,bride,g,,
24,chapel,C,3,S,ESW,rod,road,a,white,bishop
24,conference-room,B,3,S,ESW,tier,tie,r,,
24,pantry,A,3,E,NE,crow,row,c,,
24,corridor,A,4,S,NS,car,card,d,,
24,west-wing-hall,A,5,S,NES,tube,tub,e,,
24,courtyard,A,6,S,NES,grain,rain,g,,
24,pool,B,6,W,ESW,cost,coast,a,,
24,dining-room,B,5,N,NEW,pilot,plot,i,,
24,pump-room,C,5,W,NW,tiger,tier,g,,
24,locksmith,C,6,S,S,planet,plane,t,,
25,bunker,O,1,,,,,?,,
25,entrance-hall,C,1,S,NESW,face,ace,f,,
25,pantry,D,1,W,NW,pine,pin,e,,
25,den,D,2,S,ESW,bath,bat,h,white,pawn
25,commissary,E,2,W,NW,car,cart,t,,
25,security,E,3,S,NSW,peak,pea,k,,
25,spare-room,D,3,E,EW,clock,lock,c,,
25,pool,C,3,E,NES,rod,road,a,,
25,workshop,C,2,N,NS,bridge,bride,g,,
25,nook,B,1,E,NE,prayer,pryer,a,,
25,chapel,B,2,S,NSW,stair,star,i,white,bishop
25,parlour,A,2,E,ES,plane,plan,e,black,pawn
25,storeroom,A,1,N,N,dessert,desert,s,white,pawn
25,observatory,B,3,S,SW,tier,tie,r,white,knight
25,walk-in-closet,A,3,E,E,crow,row,c,black,pawn
25,locker-room,C,4,S,NS,stage,sage,t,,
25,hallway,C,5,S,ESW,tiger,tier,g,,
25,drawing-room,B,5,E,NES,pilot,plot,i,,
25,library,B,6,S,SW,cost,coast,a,,
25,bookshop,A,6,E,NE,grain,rain,g,black,bishop
25,boiler-room,B,4,N,NEW,cot,coat,a,,
25,garage,A,4,,E,car,card,d,,
25,maids-chambers,A,7,S,ES,spine,pine,s,,
25,archives,B,7,W,NESW,tie,time,m,,
25,darkroom,C,7,W,ESW,paint,pint,a,,
25,corridor,C,6,N,NS,planet,plane,t,,
25,foundation,D,7,W,NSW,flan,fan,l,,
25,dining-room,D,8,S,ESW,crown,crow,n,,
25,gymnasium,C,8,E,ESW,hose,house,u,,
25,east-wing-hall,E,8,W,NSW,plant,plan(t),t,,
25,music-room,D,5,W,NW,chart,cart,h,,
25,secret-garden,E,7,W,NSW,,,?,,
25,kitchen,E,9,S,SW,create,crate,e,,
25,passageway,B,8,E,NESW,boat,bat,o,,
25,bedroom,A,8,E,ES,crate,rate,c,white,pawn
25,aquarium,B,9,S,ESW,flight,light,f,,
25,antechamber,C,9,W,NESW,,,?,,
25,guest-bedroom,A,9,E,E,chief,chef,i,,
25,secret-passage,E,4,S,NS,sand,and,s,,
25,greenhouse,E,5,S,S,tent,ten,t,,
25,great-hall,D,6,S,NESW,stage,stag,e,,
25,closet,D,9,E,E,wheat,heat,w,,
25,courtyard,E,6,N,NSW,coat,coast,s,,
26,entrance-hall,C,1,S,NESW,face,ace,f,,
26,hallway,D,1,W,NEW,pine,pin,e,,
26,office,E,1,W,NW,stag,tag,s,white,king
26,closet,E,2,S,S,car,cart,t,,
26,pantry,D,2,S,SW,bath,bat,h,,
26,den,C,2,E,ESW,bridge,bride,g,white,pawn
26,corridor,B,1,E,EW,prayer,pryer,a,,
26,nook,A,1,E,NE,dessert,desert,s,white,rook
26,drawing-room,A,2,S,NES,plane,plan,e,white,pawn
26,utility-closet,B,2,W,W,stair,star,i,,
26,west-wing-hall,A,3,S,NES,crow,row,c,,
26,library,B,3,W,NW,tier,tie,r,,
26,conference-room,B,4,S,NSW,cot,coat,a,,
26,parlour,A,4,E,ES,car,card,d,black,pawn
26,spare-room,B,5,S,NS,pilot,plot,i,,
26,courtyard,B,6,S,NSW,cost,coast,a,,
26,dark-room,A,6,E,NES,grain,rain,g,,
26,her-ladyships-chamber,A,5,N,N,tube,tub,e,white,queen
26,ballroom,A,7,S,NS,spine,pine,s,,
26,bourdoir,B,7,S,ES,tie,time,m,,
26,chapel,C,7,W,ESW,paint,pint,a,white,bishop
26,commissary,C,6,N,NE,planet,plane,t,,
26,observatory,D,6,W,SW,stage,stag,e,white,knight
26,boiler-room,D,5,N,NEW,chart,cart,h,,
26,walk-in-closet,C,5,E,E,tiger,tier,g,black,pawn
26,security,E,5,W,NSW,tent,ten,t,white,knight
26,laboratory,E,6,S,SW,coat,coast,s,,
26,laundry-room,E,4,N,N,sand,and,s,,
26,the-foundation,D,7,W,NSW,flan,fan,l,,
26,drafting-studio,D,8,S,NS,crown,crow,n,black,pawn
27,entrance-hall,C,1,S,NESW,face,ace,f,,
27,bunker,O,1,,,,,?,,
27,nook,D,1,W,NW,pine,pin,e,white,rook
27,chapel,D,2,S,NES,bath,bat,h,white,bishop
27,courtyard,E,2,W,NSW,car,cart,t,,
27,parlour,E,1,N,NW,stag,tag,s,black,pawn
27,greenhouse,E,3,S,S,peak,pea,k,,
27,solarium,D,3,S,S,clock,lock,c,black,pawn
27,spare-room,B,1,E,EW,prayer,pryer,a,,
27,mail-room,A,1,E,E,dessert,desert,s,,
27,aquarium,C,2,S,ESW,bridge,bride,g,,
27,rumpus-room,B,2,E,EW,stair,star,i,black,bishop
27,freezer,A,2,E,E,plane,plan,e,,
28,root-cellar,O,1,,,,,?,,
28,entrance-hall,C,1,S,NESW,face,ace,f,,
28,hallway,D,1,W,NEW,pine,pin,e,,
28,solarium,E,1,W,W,stag,tag,s,black,pawn
28,den,D,2,S,ESW,bath,bat,h,white,pawn
28,nursery,E,2,W,W,car,cart,t,white,pawn
28,bedroom,C,2,E,NE,bridge,bride,g,white,pawn
28,spare-room,B,1,E,EW,prayer,pryer,a,,
28,billiard-room,A,1,E,NE,dessert,desert,s,,
28,west-wing-hall,A,2,S,NES,plane,plan,e,,
28,mail-room,B,2,W,W,stair,star,i,,
28,nook,A,3,S,ES,crow,row,c,white,rook
28,great-hall,B,3,W,NESW,tier,tie,r,,
28,corridor,C,3,W,EW,rod,road,a,,
28,commisary,D,3,W,NW,clock,lock,c,,
28,drawing-room,B,4,S,NSW,cot,coat,a,white,pawn
28,security,A,4,E,NES,car,card,d,white,knight
28,garage,A,5,S,S,tube,tub,e,,
28,workshop,B,5,S,NS,pilot,plot,i,,
28,courtyard,B,6,S,NES,cost,coast,a,,
28,bunk-room,C,6,W,W,planet,plane,t,black,pawn
28,trophy-room,B,7,S,ES,tie,time,m,,
28,laboratory,C,7,W,NW,paint,pint,a,,
28,parlour,C,8,S,ES,hose,house,u,black,pawn
28,boiler-room,D,8,W,NEW,crown,crow,n,,
28,gymnasium,D,9,S,ESW,wheat,heat,w,,
28,dark-room,E,8,W,NSW,plant,plan(t),t,,
28,guest-bedroom,E,9,S,S,create,crate,e,white,pawn
28,antichamber,C,9,,NESW,,,?,,
29,bunker,O,1,,,,,?,,
29,entrance-hall,C,1,S,NESW,face,ace,f,,
29,spare-room,B,1,E,EW,prayer,pryer,a,,
29,parlour,A,1,E,NE,dessert,desert,s,black,pawn
29,courtyard,A,2,S,NES,plane,plan,e,,
29,closet,B,2,W,W,stair,star,i,,
29,nursery,D,1,W,W,pine,pin,e,white,pawn
29,security,C,2,S,ESW,bridge,bride,g,white,knight
29,observatory,D,2,W,NW,bath,bat,h,white,knight
29,secret-passage,D,3,S,NS,clock,lock,c,,
29,passageway,D,4,S,NESW,fire,fir,e,,
29,office,E,4,W,SW,sand,and,s,white,king
29,dark-room,E,3,N,NSW,peak,pea,k,,
29,den,E,2,N,NSW,car,cart,t,white,pawn
29,commissary,E,1,N,NW,stag,tag,s,,
29,cloister,C,4,E,NESW,stage,sage,t,,
29,guest-bedroom,C,3,N,N,rod,road,a,white,pawn
29,pool,B,4,E,NEW,cot,coat,a,,
29,bedroom,A,4,E,ES,car,card,d,white,pawn
29,billiard-room,A,3,N,NE,crow,row,c,,
29,archives,B,3,W,NESW,tier,tie,r,,
29,pantry,B,5,S,SW,pilot,plot,i,,
29,west-wing-hall,A,5,E,NES,tube,tub,e,,
29,boudoir,A,6,S,ES,grain,rain,g,,
29,locksmith,C,5,,S,tiger,tier,g,,
29,nook,D,5,S,ES,chart,cart,h,white,rook
29,aquarium,E,5,W,NSW,tent,ten,t,,
29,laundry-room,E,6,S,S,coat,coast,s,,
29,hallway,B,6,W,NSW,cost,coast,a,,
29,great-hall,B,7,S,NESW,tie,time,m,,
29,music-room,C,7,W,SW,paint,pint,a,,
29,corridor,C,6,N,NS,planet,plane,t,,
29,rotunda,B,8,S,NESW,boat,bat,o,,
29,locker-room,C,8,W,EW,hose,house,u,,
29,secret-garden,A,8,E,NES,crate,rate,c,,
29,storeroom,A,9,S,S,chief,chef,i,white,pawn
29,gymnasium,B,9,W,ESW,flight,light,f,,
29,weight-room,D,8,W,NESW,crown,crow,n,,
29,the-foundation,D,7,N,NSW,flan,fan,l,,
29,library,D,9,S,ES,wheat,heat,w,,
29,mail-room,E,9,W,W,create,crate,e,,
29,servants-quarters,D,6,N,N,stage,stag,e,,
29,pump-room,E,8,W,W,plant,plan(t),t,,
30,shrine,O,1,,,,,?,,
30,entrance-hall,C,1,S,NESW,face,ace,f,,
30,spare-room,B,1,E,EW,prayer,pryer,a,,
30,parlour,A,1,E,NE,dessert,desert,s,black,pawn
30,storeroom,A,2,S,S,plane,plan,e,white,pawn
30,hallway,C,2,S,ESW,bridge,bride,g,,
30,guest-bedroom,B,2,E,E,stair,star,i,white,pawn
30,den,D,1,W,NEW,pine,pin,e,white,pawn
30,mail-room,E,1,W,W,stag,tag,s,,
30,bedroom,D,2,S,ES,bath,bat,h,white,pawn
30,kitchen,E,2,W,NW,car,cart,t,,
30,east-wing-hall,E,3,S,NSW,peak,pea,k,,
30,billiard-room,D,3,E,NE,clock,lock,c,,
30,secret-passage,D,4,S,NS,fire,fir,e,,
30,foyer,D,5,S,NS,chart,cart,h,,
30,workshop,D,6,S,NS,stage,stag,e,,
30,the-foundation,D,7,S,NSW,flan,fan,l,,
30,gymnasium,E,4,S,NSW,sand,and,s,,
30,secret-garden,E,5,S,NSW,tent,ten,t,,
30,dining-room,E,6,S,NSW,coat,coast,s,white,pawn
30,chapel,E,7,S,NSW,,,?,white,bishop
30,corridor,E,8,S,NS,plant,plan(t),t,,
30,nook,E,9,S,SW,create,crate,e,white,rook
30,pantry,D,9,E,ES,wheat,heat,w,,
30,pool,C,7,E,NEW,paint,pint,a,,
30,servants-quarters,C,8,S,S,hose,house,u,,
30,utility-closet,D,8,N,N,crown,crow,n,,
30,showroom,B,7,E,EW,tie,time,m,,
30,laboratory,A,7,E,NE,spine,pine,s,,
30,darkroom,A,8,S,NES,crate,rate,c,,
30,pump-room,B,8,W,SW,boat,bat,o,,
31,schoolhouse,O,1,,,,,?,,
31,entrance-hall,C,1,S,NESW,face,ace,f,,
31,library,D,1,W,NW,pine,pin,e,,
31,classroom,D,2,S,ES,bath,bat,h,,
31,den,E,2,W,NSW,car,cart,t,white,pawn
31,storeroom,E,1,N,N,stag,tag,s,white,pawn
31,chapel,E,3,S,NSW,peak,pea,k,white,bishop
31,classroom,B,1,E,NE,prayer,pryer,a,,
31,drawing-room,B,2,S,ESW,stair,star,i,white,pawn
31,bedroom,A,2,E,ES,plane,plan,e,white,pawn
31,hallway-closet,A,1,N,N,dessert,desert,s,,
31,nook,C,2,W,NW,bridge,bride,g,white,rook
31,classroom,C,3,S,SW,rod,road,a,,
31,parlour,B,3,E,NE,tier,tie,r,black,pawn
31,nursery,B,4,S,S,cot,coat,a,white,pawn
31,security,D,3,E,NES,clock,lock,c,white,knight
31,guest-bedroom,E,4,S,S,sand,and,s,white,pawn
31,archives,D,4,S,NESW,fire,fir,e,,
31,pantry,C,4,E,NE,stage,sage,t,,
31,spare-room,C,5,S,NS,tiger,tier,g,,
31,dining-room,C,6,S,ESW,planet,plane,t,white,pawn
31,laboratory,B,6,E,NE,cost,coast,a,,
31,hallway,B,7,S,NES,tie,time,m,,
31,classroom,C,7,W,NW,paint,pint,a,,
31,corridor,D,5,S,NS,chart,cart,h,,
31,workshop,D,6,S,NS,stage,stag,e,,
31,the-foundation,D,7,S,NSW,flan,fan,l,,
31,gymnasium,D,8,S,ESW,crown,crow,n,,
31,billiard-room,C,8,E,NE,hose,house,u,,
31,study,E,8,W,W,plant,plan,t,black,king
32,toolshed,O,1,,,,,?,,
32,entrance-hall,C,1,S,NESW,face,ace,f,,
32,spare-room,B,1,E,EW,prayer,pryer,a,,
32,parlour,A,1,E,NE,dessert,desert,s,black,pawn
32,security,A,2,S,NES,plane,plan,e,white,knight
32,corridor,B,2,W,EW,stair,star,i,,
32,nook,C,2,W,SW,bridge,bride,g,white,rook
32,pantry,D,1,W,NW,pine,pin,e,,
32,den,D,2,S,ESW,bath,bat,h,white,pawn
32,chapel,E,2,W,NSW,car,cart,t,white,bishop
32,storeroom,E,1,N,N,stag,tag,s,white,pawn
32,commissary,E,3,S,SW,peak,pea,k,,
32,workshop,D,3,E,EW,clock,lock,c,,
32,drafting-studio,C,3,E,EW,rod,road,a,black,pawn
32,kitchen,B,3,E,NE,tier,tie,r,,
32,hallway,B,4,S,NES,cot,coat,a,,
32,office,C,4,W,NW,stage,sage,t,white,king
32,pool,C,5,S,NSW,tiger,tier,g,,
32,locksmith,B,5,E,E,pilot,plot,i,,
32,west-wing-hall,A,3,S,NES,crow,row,c,,
32,dining-room,A,4,S,NES,car,card,d,white,pawn
32,bedroom,C,6,S,SW,planet,plane,t,white,pawn
32,hallway-closet,A,5,S,S,tube,tub,e,,
32,pump-room,B,6,E,NE,cost,coast,a,,
